Variable	varimp	gene
HES4	0.0285142788899906	SFTPC
SKI	0.0282240766403854	SFTPC
HES5	0.031731124961623	SFTPC
PRDM16	0.0240321881202809	SFTPC
TP73	0.0355636194010495	SFTPC
HES2	0.0290838879112243	SFTPC
ZBTB48	0.0292803325702625	SFTPC
THAP3	0.0298585618119729	SFTPC
CAMTA1	0.0283213323987363	SFTPC
CENPS	0.0273357911305812	SFTPC
CASZ1	0.0476298108181957	SFTPC
PRDM2	0.0270483576885046	SFTPC
SPEN	0.027359905424136	SFTPC
ZBTB17	0.0382008171159546	SFTPC
PAX7	0.0834641724255056	SFTPC
ZBTB40	0.026785140750897	SFTPC
ZNF436	0.0218641265742529	SFTPC
E2F2	0.00460903495171979	SFTPC
GRHL3	0.0211984039920491	SFTPC
RUNX3	0.0345059668336703	SFTPC
ZNF683	0.0281698066875825	SFTPC
LIN28A	0.0444892964794864	SFTPC
AHDC1	0.0298272589704116	SFTPC
GMEB1	0.0270483576885046	SFTPC
ZBTB8B	0.0411016699547459	SFTPC
ZBTB8A	0.0263278560546124	SFTPC
ZNF362	0.0256029344688934	SFTPC
ZSCAN20	0.0251847295579207	SFTPC
TFAP2E	0.0245145706468146	SFTPC
MTF1	0.0270665423398765	SFTPC
POU3F1	0.0251929095575658	SFTPC
HEYL	0.0502728314759807	SFTPC
MYCL	0.0391916408566644	SFTPC
RLF	0.0270735788768481	SFTPC
ZFP69B	0.0486247638772813	SFTPC
ZFP69	0.0270483576885046	SFTPC
ZNF684	0.0320052204504372	SFTPC
NFYC	0.0270483576885046	SFTPC
SCMH1	0.0293973091256731	SFTPC
FOXO6	0.0303420550066894	SFTPC
HIVEP3	0.0363088302321603	SFTPC
FOXJ3	0.0249675478273571	SFTPC
YBX1	0.0334838282762988	SFTPC
ZNF691	0.0283431383332054	SFTPC
KLF17	0.0255390032737155	SFTPC
CCDC17	0.0342880592046702	SFTPC
GPBP1L1	0.0289703383682222	SFTPC
DMBX1	0.0433691937108742	SFTPC
TAL1	0.035216916939732	SFTPC
FOXE3	0.0302974782469239	SFTPC
FOXD2	0.0377873753296576	SFTPC
DMRTA2	0.0279119487195078	SFTPC
DMRTB1	0.0175282312728833	SFTPC
GLIS1	0.0278934626556035	SFTPC
MYSM1	0.0266459434693029	SFTPC
JUN	0.0339112675655704	SFTPC
NFIA	0.0734905108799923	SFTPC
FOXD3	0.0411567296271172	SFTPC
LHX8	0.0556032429097419	SFTPC
ZZZ3	0.0270483576885046	SFTPC
GTF2B	0.027397517595853	SFTPC
ZNF326	0.0274197616787632	SFTPC
BARHL2	0.0198567434159503	SFTPC
ZNF644	0.029235606759671	SFTPC
GFI1	0.0156731251658513	SFTPC
MTF2	0.03598932933866	SFTPC
DR1	0.0270483576885046	SFTPC
ALX3	0.0271338853676153	SFTPC
NHLH2	0.0776092536330585	SFTPC
TBX15	0.0202699354133534	SFTPC
ZNF697	0.027144224321555	SFTPC
ARNT	0.0270483576885046	SFTPC
SETDB1	0.0310423440732947	SFTPC
ZNF687	0.0261001360925012	SFTPC
RFX5	0.0209473419408854	SFTPC
RORC	0.0394903537739491	SFTPC
GATAD2B	0.0299828937725391	SFTPC
CREB3L4	0.029781014219693	SFTPC
ZBTB7B	0.0266665474811711	SFTPC
ASH1L	0.0269840967849585	SFTPC
GLMP	0.052611824424429	SFTPC
MEF2D	0.0458577095684688	SFTPC
ETV3L	0.0216269234891052	SFTPC
ETV3	0.0368295623681054	SFTPC
NHLH1	0.0290556384528867	SFTPC
USF1	0.0355844650806525	SFTPC
NR1I3	0.0273524670164765	SFTPC
ATF6	0.025803051168403	SFTPC
PBX1	0.03580901067105	SFTPC
LMX1A	0.0301310474839757	SFTPC
RXRG	0.0234993168306691	SFTPC
POGK	0.0256814538472003	SFTPC
POU2F1	0.0233540559174892	SFTPC
TBX19	0.0250461163983405	SFTPC
PRRX1	0.0330048434472353	SFTPC
ZBTB37	0.026238391416181	SFTPC
LHX4	0.0611524304333612	SFTPC
ZNF648	0.000152721868548696	SFTPC
ZBTB41	0.0328269214908467	SFTPC
LHX9	0.0276101091252817	SFTPC
NR5A2	0.0267850801911666	SFTPC
ZNF281	0.0458091485892494	SFTPC
ASCL5	0.0156501285271965	SFTPC
ELF3	0.00946315152993545	SFTPC
KDM5B	0.0264312650762796	SFTPC
MYOG	0.0359799399462183	SFTPC
ZBED6	0.0221646811940312	SFTPC
SOX13	0.028070899473485	SFTPC
ELK4	0.0270483576885046	SFTPC
IRF6	0.03564953818481	SFTPC
ATF3	0.0321467103575054	SFTPC
BATF3	0.04970127732286	SFTPC
PROX1	0.0266800783225852	SFTPC
ESRRG	0.0513092659438861	SFTPC
HLX	0.0303998863436742	SFTPC
MIXL1	0.0144703565818535	SFTPC
ZNF678	0.0271507557250619	SFTPC
ZBTB18	0.0267742634344644	SFTPC
SMYD3	0.0204833598662691	SFTPC
AHCTF1	0.0278679933647006	SFTPC
ZNF695	0.0430738242455019	SFTPC
ZNF670	0.0233427954877135	SFTPC
ZNF669	0.0300825134009952	SFTPC
ZNF124	0.0306312447331262	SFTPC
ZNF496	0.0270483576885046	SFTPC
ZNF672	0.0289329949499786	SFTPC
ZNF692	0.0363500945979053	SFTPC
MYT1L	0.0285126813872001	SFTPC
SOX11	0.0184755992462769	SFTPC
GRHL1	0.0294171626239915	SFTPC
KLF11	0.0315166938719371	SFTPC
E2F6	0.026870338291687	SFTPC
MYCN	0.0450829371495172	SFTPC
OSR1	0.0318263692892576	SFTPC
NCOA1	0.0271255008900807	SFTPC
CENPA	0.0221537625153133	SFTPC
PREB	0.028872246247817	SFTPC
