Variable	varimp	gene
HES4	0.0442776334281069	SFTPC
SKI	0.0625761997899733	SFTPC
HES5	0.0246367204908481	SFTPC
PRDM16	0.101150075730541	SFTPC
TP73	0.043277832999607	SFTPC
HES2	0.0513377452288614	SFTPC
ZBTB48	0.0407516352770453	SFTPC
THAP3	0.0528174602333526	SFTPC
CAMTA1	0.0410952785848559	SFTPC
CENPS	0.036038470390392	SFTPC
CASZ1	0.0443947238575789	SFTPC
PRDM2	0.0519037440799487	SFTPC
SPEN	0.0561337721759424	SFTPC
ZBTB17	0.0508318814536764	SFTPC
PAX7	0.110121542955543	SFTPC
ZBTB40	0.0533216697019173	SFTPC
ZNF436	0.0416242474319055	SFTPC
E2F2	0.0429609576879785	SFTPC
GRHL3	0.0613948703749307	SFTPC
RUNX3	0.0866888339626701	SFTPC
ZNF683	0.0845775410652945	SFTPC
LIN28A	0.0468000358864561	SFTPC
AHDC1	0.0400138549592622	SFTPC
GMEB1	0.0466148525370896	SFTPC
ZBTB8B	0.0517138810273234	SFTPC
ZBTB8A	0.0539800066160212	SFTPC
ZNF362	0.0503155494932857	SFTPC
ZSCAN20	0.0436903639535275	SFTPC
TFAP2E	0.0859476217003798	SFTPC
MTF1	0.0709101018182464	SFTPC
POU3F1	0.044965814870241	SFTPC
HEYL	0.0675386493249066	SFTPC
MYCL	0.0469921696464047	SFTPC
RLF	0.0512456998379964	SFTPC
ZFP69B	0.0860956928840289	SFTPC
ZFP69	0.0432982972122995	SFTPC
ZNF684	0.0524348961831942	SFTPC
NFYC	0.0787507770372479	SFTPC
SCMH1	0.0505457525893551	SFTPC
FOXO6	0.0670721299539839	SFTPC
HIVEP3	0.0639214518575078	SFTPC
FOXJ3	0.0403967728981792	SFTPC
YBX1	0.0446228710384479	SFTPC
ZNF691	0.0441648180530641	SFTPC
KLF17	0.0886370931145589	SFTPC
CCDC17	0.0488459384373611	SFTPC
GPBP1L1	0.0386742433942994	SFTPC
DMBX1	0.0514164848066719	SFTPC
TAL1	0.0544966910909634	SFTPC
FOXE3	0.0407524769922114	SFTPC
FOXD2	0.103977666960992	SFTPC
DMRTA2	0.0339759338755081	SFTPC
DMRTB1	0.0529087606189983	SFTPC
GLIS1	0.0389237098730288	SFTPC
MYSM1	0.056413867894917	SFTPC
JUN	0.0619433687715239	SFTPC
NFIA	0.124412391856909	SFTPC
FOXD3	0.0456071392448526	SFTPC
LHX8	0.0436033636015616	SFTPC
ZZZ3	0.0444931921917788	SFTPC
GTF2B	0.0418496561677497	SFTPC
ZNF326	0.0524068844047616	SFTPC
BARHL2	0.0392503643354253	SFTPC
ZNF644	0.09568057160536	SFTPC
GFI1	0.0470194554152482	SFTPC
MTF2	0.0395854627678989	SFTPC
DR1	0.0401038606297897	SFTPC
ALX3	0.0422394982017085	SFTPC
NHLH2	0.0966048378621564	SFTPC
TBX15	0.0471869933227923	SFTPC
ZNF697	0.0487676776312595	SFTPC
ARNT	0.0468068761091026	SFTPC
SETDB1	0.0366659124335384	SFTPC
