nbagg,rmse
10,128590.966473042
12,134623.493801197
14,134259.963260522
16,127386.068650951
18,131715.451576443
20,119754.021562261
22,123154.859207335
24,124686.663870508
26,124839.93215059
28,122251.239320427
30,124794.557513711
32,123060.247122001
34,121355.670108465
36,120691.533764002
38,120573.278659566
40,126176.115156631
42,122368.524118985
44,122288.822048825
46,121466.733812337
48,118629.981207536
50,119396.321138183
52,117532.607207653
54,118892.669735607
56,119190.281532588
58,117576.652032706
60,118588.699006236
62,119110.60539532
64,119867.17783091
66,117831.595469277
68,118793.813885911
70,118795.489201162
72,119726.708821622
74,118575.103456931
76,117664.724552051
78,120007.199325515
80,120186.177504836
82,117909.178871032
84,118522.606353856
86,119830.000624389
88,119443.10726142
90,120391.38377403
92,120172.039903231
94,120242.907556388
96,116646.537131565
98,117067.102384553
100,120365.299355437
102,116427.455594433
104,118490.251163696
106,117994.929603388
108,118982.202358897
110,120934.699536182
112,120383.983132515
114,119605.75436874
116,118994.194829284
118,118205.3611994
120,118155.836081012
122,119328.783074323
124,118265.383606187
126,118914.031996124
128,118490.494557855
130,116212.897846368
132,117927.465575452
134,118895.142323873
136,118899.400009003
138,116536.539212143
140,117942.778623221
142,116708.299082029
144,118700.388471894
146,117522.997057058
148,118108.03122704
150,115205.400832911
152,118570.733170075
154,117534.837340697
156,117733.006388844
158,119596.305281131
160,120100.889684599
162,119151.452447
164,120177.651805556
166,119556.519205424
168,118472.094756953
170,117471.219392969
172,120123.067986716
174,120229.991894684
176,116966.519373332
178,118410.88520043
180,116628.729284194
182,117924.21468709
184,118396.742929041
186,118541.478460276
188,119706.082472078
190,119214.841437264
192,118897.982130379
194,118331.687255705
196,117877.306399341
198,119157.148108985
200,118830.019207875
