maxdepth,nu,mstop,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
30,0.001,100,1.8693907598124,0.786637589272854,1.6666497015557,0.0285638560103444,0.0332081686021136,0.0136143818196384
30,0.01,100,1.05006470513046,0.836938577070491,0.839896272503612,0.0687304542301745,0.0230912410845287,0.0167173735856025
30,0.1,100,0.743368431184486,0.865463857415375,0.498202387564266,0.0687965476092197,0.0213185120081799,0.00915700020909562
32,0.001,100,,,,,,
32,0.01,100,,,,,,
32,0.1,100,,,,,,
34,0.001,100,,,,,,
34,0.01,100,,,,,,
34,0.1,100,,,,,,
36,0.001,100,,,,,,
36,0.01,100,,,,,,
36,0.1,100,,,,,,
38,0.001,100,,,,,,
38,0.01,100,,,,,,
38,0.1,100,,,,,,
40,0.001,100,,,,,,
40,0.01,100,,,,,,
40,0.1,100,,,,,,
42,0.001,100,,,,,,
42,0.01,100,,,,,,
42,0.1,100,,,,,,
44,0.001,100,,,,,,
44,0.01,100,,,,,,
44,0.1,100,,,,,,
46,0.001,100,,,,,,
46,0.01,100,,,,,,
46,0.1,100,,,,,,
48,0.001,100,,,,,,
48,0.01,100,,,,,,
48,0.1,100,,,,,,
50,0.001,100,,,,,,
50,0.01,100,,,,,,
50,0.1,100,,,,,,
30,0.001,120,1.83931442932486,0.792782630316492,1.63719880184407,0.0290975869953624,0.0279253135808107,0.0130007727870859
30,0.01,120,0.973307284481634,0.838924963762353,0.753785279846477,0.0742136538966879,0.0245519459984112,0.019480508279006
30,0.1,120,0.741260869525028,0.866253989411038,0.498274976795679,0.0666095421113845,0.0205035224060889,0.00906018982793947
32,0.001,120,,,,,,
32,0.01,120,,,,,,
32,0.1,120,,,,,,
34,0.001,120,,,,,,
34,0.01,120,,,,,,
34,0.1,120,,,,,,
36,0.001,120,,,,,,
36,0.01,120,,,,,,
36,0.1,120,,,,,,
38,0.001,120,,,,,,
38,0.01,120,,,,,,
38,0.1,120,,,,,,
40,0.001,120,,,,,,
40,0.01,120,,,,,,
40,0.1,120,,,,,,
42,0.001,120,,,,,,
42,0.01,120,,,,,,
42,0.1,120,,,,,,
44,0.001,120,,,,,,
44,0.01,120,,,,,,
44,0.1,120,,,,,,
46,0.001,120,,,,,,
46,0.01,120,,,,,,
46,0.1,120,,,,,,
48,0.001,120,,,,,,
48,0.01,120,,,,,,
48,0.1,120,,,,,,
50,0.001,120,,,,,,
50,0.01,120,,,,,,
50,0.1,120,,,,,,
30,0.001,140,1.81010223880711,0.79658070591128,1.6083311902514,0.0299408514117967,0.02420350063491,0.0124611134478733
30,0.01,140,0.917512232433722,0.841043946234536,0.691383834173165,0.07737848307944,0.0250976494950033,0.0176718262775129
30,0.1,140,0.74011474206029,0.866683335609525,0.498092332493087,0.0652662765768025,0.020015515833084,0.00859433336811128
32,0.001,140,,,,,,
32,0.01,140,,,,,,
32,0.1,140,,,,,,
34,0.001,140,,,,,,
34,0.01,140,,,,,,
34,0.1,140,,,,,,
36,0.001,140,,,,,,
36,0.01,140,,,,,,
36,0.1,140,,,,,,
38,0.001,140,,,,,,
38,0.01,140,,,,,,
38,0.1,140,,,,,,
40,0.001,140,,,,,,
40,0.01,140,,,,,,
40,0.1,140,,,,,,
42,0.001,140,,,,,,
42,0.01,140,,,,,,
42,0.1,140,,,,,,
44,0.001,140,,,,,,
44,0.01,140,,,,,,
44,0.1,140,,,,,,
46,0.001,140,,,,,,
46,0.01,140,,,,,,
46,0.1,140,,,,,,
48,0.001,140,,,,,,
48,0.01,140,,,,,,
48,0.1,140,,,,,,
50,0.001,140,,,,,,
50,0.01,140,,,,,,
50,0.1,140,,,,,,
30,0.001,160,1.78142139284539,0.800155218330346,1.57987237847205,0.0308328611410667,0.0225344835899198,0.0119414817129175
30,0.01,160,0.876990598520072,0.843022705429524,0.642505487747097,0.0819311506509737,0.0264502564121335,0.0170302592513481
30,0.1,160,0.73917177903959,0.867033920042415,0.49827797701443,0.0643316344048095,0.0196708954124008,0.00861969512608074
32,0.001,160,,,,,,
32,0.01,160,,,,,,
32,0.1,160,,,,,,
34,0.001,160,,,,,,
34,0.01,160,,,,,,
34,0.1,160,,,,,,
36,0.001,160,,,,,,
36,0.01,160,,,,,,
36,0.1,160,,,,,,
38,0.001,160,,,,,,
38,0.01,160,,,,,,
38,0.1,160,,,,,,
40,0.001,160,,,,,,
40,0.01,160,,,,,,
40,0.1,160,,,,,,
42,0.001,160,,,,,,
42,0.01,160,,,,,,
42,0.1,160,,,,,,
44,0.001,160,,,,,,
44,0.01,160,,,,,,
44,0.1,160,,,,,,
46,0.001,160,,,,,,
46,0.01,160,,,,,,
46,0.1,160,,,,,,
48,0.001,160,,,,,,
48,0.01,160,,,,,,
48,0.1,160,,,,,,
50,0.001,160,,,,,,
50,0.01,160,,,,,,
50,0.1,160,,,,,,
30,0.001,180,1.7534476451948,0.802560241672402,1.5520921239063,0.0315506526452028,0.0211565895148785,0.0117400741966925
30,0.01,180,0.848178032378366,0.844709541002084,0.608088003861465,0.083708800136128,0.0268807858250389,0.0150603044587971
30,0.1,180,0.738220822753251,0.867390529781016,0.498306053068534,0.0633937384070688,0.019318212410648,0.00857087682984693
32,0.001,180,,,,,,
32,0.01,180,,,,,,
32,0.1,180,,,,,,
34,0.001,180,,,,,,
34,0.01,180,,,,,,
34,0.1,180,,,,,,
36,0.001,180,,,,,,
36,0.01,180,,,,,,
36,0.1,180,,,,,,
38,0.001,180,,,,,,
38,0.01,180,,,,,,
38,0.1,180,,,,,,
40,0.001,180,,,,,,
40,0.01,180,,,,,,
40,0.1,180,,,,,,
42,0.001,180,,,,,,
42,0.01,180,,,,,,
42,0.1,180,,,,,,
44,0.001,180,,,,,,
44,0.01,180,,,,,,
44,0.1,180,,,,,,
46,0.001,180,,,,,,
46,0.01,180,,,,,,
46,0.1,180,,,,,,
48,0.001,180,,,,,,
48,0.01,180,,,,,,
48,0.1,180,,,,,,
50,0.001,180,,,,,,
50,0.01,180,,,,,,
50,0.1,180,,,,,,
30,0.001,200,1.72595342029111,0.805142730872384,1.524709695143,0.032418469310516,0.0190650425845767,0.0118687643185453
30,0.01,200,0.826480995382943,0.846852217299327,0.581349015611474,0.0838244269269554,0.0266119811118157,0.0135270349875458
30,0.1,200,0.737455274363477,0.86767908913343,0.498305612071572,0.062582943402906,0.0190182389326058,0.00848074928540883
32,0.001,200,,,,,,
32,0.01,200,,,,,,
32,0.1,200,,,,,,
34,0.001,200,,,,,,
34,0.01,200,,,,,,
34,0.1,200,,,,,,
36,0.001,200,,,,,,
36,0.01,200,,,,,,
36,0.1,200,,,,,,
38,0.001,200,,,,,,
38,0.01,200,,,,,,
38,0.1,200,,,,,,
40,0.001,200,,,,,,
40,0.01,200,,,,,,
40,0.1,200,,,,,,
42,0.001,200,,,,,,
42,0.01,200,,,,,,
42,0.1,200,,,,,,
44,0.001,200,,,,,,
44,0.01,200,,,,,,
44,0.1,200,,,,,,
46,0.001,200,,,,,,
46,0.01,200,,,,,,
46,0.1,200,,,,,,
48,0.001,200,,,,,,
48,0.01,200,,,,,,
48,0.1,200,,,,,,
50,0.001,200,,,,,,
50,0.01,200,,,,,,
50,0.1,200,,,,,,
