splitrule,mtry,min.node.size,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
variance,50,6,51267.1377167948,0.618738579451148,38782.9218307137,5719.40377990701,0.0199651281807842,2196.06528935042
variance,50,7,51387.4691597294,0.617732721126934,38997.4694325189,6264.37165154634,0.0329604976911635,2272.71509199017
variance,50,8,51373.8394102898,0.616422883672101,38925.0198618596,6478.82787946185,0.0254407672030021,2846.8417556532
variance,50,9,51169.2745791521,0.616796501961263,38563.3395102758,6799.66527843507,0.0365569578045523,2872.38019780171
variance,50,10,51124.6452735117,0.621153671493396,38585.5154146931,6518.07736023461,0.0275217234660902,2784.31876108862
variance,100,6,49103.7675575988,0.657389601145608,37012.3683030629,6048.21657930497,0.0235072546643335,2498.62498347252
variance,100,7,49086.9328083821,0.657019147932898,37190.1398471142,6039.25507411716,0.00846328700489813,2623.67878746656
variance,100,8,48957.1811060048,0.658471551834271,37000.5322946362,6202.61265938784,0.0219505102556846,2492.25957772359
variance,100,9,49177.5896420565,0.652974524151506,37085.5489332282,6360.9027416428,0.021847719515914,2668.29319931023
variance,100,10,49577.152146111,0.647038617602489,37298.9991765761,5906.00770333972,0.0284891100369962,2024.35550489798
variance,150,6,48406.5835137462,0.664645254827244,36533.8138409813,6265.88700233654,0.0188992834212802,2650.39263106753
variance,150,7,48189.2664499005,0.667818534000409,36555.1196376714,5986.49433776461,0.0156904607558715,2542.39913320023
variance,150,8,48373.0294811176,0.663255469304764,36444.6450270825,5777.54856412041,0.0253158071514216,2140.01820770486
variance,150,9,48158.8518961773,0.668689548701837,36325.9779930347,6083.86634256091,0.0190566143103286,2643.51988588075
variance,150,10,48541.7976223398,0.664585867360325,36747.7735582238,6213.37873784179,0.0186592777265794,2777.77412680611
variance,200,6,47467.8804433961,0.680256123285348,35648.6391092163,5460.48429233377,0.021705290325432,1979.99374937834
variance,200,7,47178.3358797772,0.685188104182264,35513.2460434396,5910.57103137595,0.0128470506715643,2486.78338273097
variance,200,8,47706.4913579247,0.676044499463374,36045.8015731136,6112.8784647546,0.01847365885467,2488.72120963755
variance,200,9,47878.9773004189,0.67330621830051,36056.7219423931,5549.95190678861,0.0165943730573604,2202.29285366563
variance,200,10,47561.0719821449,0.679070256341081,35929.1937311613,5649.87927886319,0.0133733734234706,2394.98982505101
variance,250,6,47070.7365011035,0.685075573971328,35366.7253835841,5789.61053639782,0.012300764383414,2302.69631669686
variance,250,7,46876.0363275884,0.693372547503535,35125.0398966979,5198.51701340618,0.0250382299898786,1932.57759821014
variance,250,8,47031.35330676,0.686318265406685,35353.4066523772,5778.21715216686,0.01653989115142,2371.47765454759
variance,250,9,46978.2300278421,0.689838121974321,35414.1410764215,5735.36088657496,0.0122811316617905,2436.90263039641
variance,250,10,46911.4194424085,0.690752784901426,35366.1727989765,6174.26585498717,0.0165656617839383,2738.70214516394
variance,300,6,46436.3749287104,0.69760529376348,34911.4122960516,6201.53940435112,0.0163387860121134,2574.46500370988
variance,300,7,46484.3811154286,0.695840797843083,34840.130406623,5642.04470434345,0.00997895170641311,2379.67458368471
variance,300,8,46552.0145150229,0.694961310831211,34818.4435311603,5660.97673746046,0.0191511721001514,2125.60816650409
variance,300,9,46634.3773042738,0.695630186826692,34918.397352155,5462.88647942822,0.0249186612977564,1714.19561652696
variance,300,10,46906.2739411053,0.685861552614957,35322.7707807095,6252.03946815584,0.0121706066667149,2876.1649658505
variance,350,6,46686.8096507538,0.69129923984538,34944.2605794894,5754.02569584757,0.0113682100305287,2362.35259844522
variance,350,7,46518.8156153567,0.691977069024718,34858.6317883662,5327.65371348639,0.0203544957941965,1820.85116618143
variance,350,8,46791.5609448664,0.688625507183498,35041.028672735,5796.92191639128,0.0147291556005688,2196.84487736537
variance,350,9,46472.2396941303,0.696431576054178,34977.4697670946,6007.30616024137,0.0136293972635139,2301.3310175374
variance,350,10,46565.1806517243,0.693574555846306,34865.7114853756,5455.79030160231,0.0200773568060301,2185.83371584439
variance,400,6,46444.488800293,0.697014767791337,34709.5199311406,5894.48354438832,0.0174241567423946,2345.13517614555
variance,400,7,46326.4242695679,0.699533996611712,34537.4239554457,5699.45325987534,0.0146522447764267,2278.37616704285
variance,400,8,46034.386266461,0.702366649362055,34506.2567506767,5468.9173724581,0.0156815883367177,2306.10981618007
variance,400,9,46230.2217375788,0.699472994197768,34606.486827554,5732.43022954171,0.0151843014828333,2225.02345226543
variance,400,10,46293.1343942353,0.69710903703885,34638.0266191344,5483.00272290785,0.0265869250393513,1927.58160545048
variance,450,6,46163.69543487,0.697926318487993,34561.9104127296,5420.27097754419,0.0152384251862333,2185.20510905373
variance,450,7,46086.9157844163,0.698781030304227,34628.4008897302,5319.06454400383,0.0182255776921448,2005.27500655728
variance,450,8,45623.114858388,0.706988850166517,34040.5917803426,5049.4106001823,0.0208302983114547,2012.94146476581
variance,450,9,46029.7344179311,0.7009762472334,34367.0810097905,5445.69658534896,0.0193409612893003,2164.33656244276
variance,450,10,46259.0571784746,0.69760441552047,34706.3088057569,5589.38399087321,0.0175686824084539,2404.81120733733
variance,500,6,46159.9781238186,0.698454033032247,34529.3352313238,5211.37332879941,0.0263120512277608,1713.26001259044
variance,500,7,45608.3220663164,0.708430254201947,34042.0069993573,5495.62949006819,0.0205010970933259,2110.69708475761
variance,500,8,46172.8321036061,0.696030197035275,34618.1168170128,5391.77907712068,0.0173395468878674,2208.30242930671
variance,500,9,45555.2782371599,0.706746210871839,34307.9556350341,5117.52464889541,0.0210448207889833,2055.86154430705
variance,500,10,45709.9119615847,0.70348771102417,34036.1536386734,5316.95765517541,0.0236256630627573,1883.40240631693
variance,550,6,45908.0546795032,0.70292847992267,34409.5827742358,5501.94488343268,0.0142993459749634,2169.49597001325
variance,550,7,46089.2112652418,0.695980365830146,34426.6781021786,5183.62538722057,0.0253643180907036,2021.79934740266
variance,550,8,45914.1896244478,0.703187141553105,34369.0115503916,5725.31884034177,0.013491128760296,2269.45711615171
variance,550,9,45665.0721353362,0.705381454573226,34160.1839593131,5400.02416634956,0.0215104022877135,1909.39675504732
variance,550,10,46219.3014614499,0.695915252146885,34596.0512239953,5565.91702474252,0.0136202420739465,2252.44305195218
variance,600,6,45499.6623905938,0.708638395223233,34082.5500866644,5783.62919881341,0.0165791105803751,2507.44870263913
variance,600,7,45845.2342596073,0.702157189808005,34331.8689234781,4878.05031115935,0.0252774032284672,1863.29455626243
variance,600,8,45519.9433729284,0.702329673292775,34201.2152114255,4869.78662953269,0.0223451883083541,1753.30887057368
variance,600,9,45607.0299344235,0.705447441564922,34300.1070909209,5086.44478147079,0.025074505938524,1912.87793051724
variance,600,10,46152.311806361,0.696106844993984,34419.9233309936,5577.66854095975,0.0210959997776858,1970.43683196874
variance,650,6,45538.5926419278,0.706388067455812,34003.6096143388,5687.54703586328,0.00922739843893302,2469.70086559491
variance,650,7,45502.9026361667,0.707347294239867,33934.1713499235,5692.25900606434,0.0119433889622673,2490.69458282824
variance,650,8,45747.6373791843,0.700387254760768,34079.4514975057,5267.72088096607,0.0145499482288935,2408.57922668619
variance,650,9,45581.5177464464,0.708048318040684,34085.6680595207,5616.38641989775,0.0133380816764359,2154.63243124893
variance,650,10,46008.8805003351,0.699855177099337,34412.4894261356,5254.65562255454,0.0161522724586768,1949.73123180868
variance,700,6,45507.8593306295,0.704073865507852,34021.2312570675,5324.2732443762,0.0124138965816877,2195.12932439828
variance,700,7,45553.786734029,0.70481140128214,34045.3996013425,5779.32902094112,0.0121447158318605,2255.2132659206
