splitrule,mtry,min.node.size,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
variance,1050,5,0.357318182336244,0.806301021460324,0.24839816721202,0.0813252462050586,0.0388552112108881,0.0242884845262947
variance,1050,6,0.357382778712325,0.805417224778362,0.250964391145129,0.0755435281563499,0.0331100965739838,0.0224548174293279
variance,1050,7,0.357112350229025,0.805676754305427,0.251433859154172,0.076248141994436,0.0346743401626564,0.0234366964106654
variance,1050,8,0.358817769928281,0.802169019240079,0.250840379059489,0.077260101131864,0.0370748826376896,0.0241030278161061
variance,1050,9,0.354540734313766,0.808804441606732,0.247708984325018,0.0770193131836046,0.0346170564767467,0.0223707676424734
variance,1050,10,0.35667949401337,0.805290361217947,0.249293797480799,0.0786427968110871,0.0375489326444778,0.0231889339796334
variance,1050,11,0.355394616490001,0.808084651308259,0.25069738122813,0.0742591360739633,0.0338157924976296,0.0240960316349512
variance,1050,12,0.357951453270629,0.804093579226413,0.25040803437294,0.0793364053326478,0.0363634806199119,0.0244573836036601
variance,1100,5,0.35693405532895,0.805191741090642,0.248326813285015,0.078482880660592,0.0389752510306432,0.0256517527136926
variance,1100,6,0.357555264815085,0.804914928608686,0.249942357427477,0.0766650165031676,0.0339093942668484,0.0235335454714323
variance,1100,7,0.358255395407748,0.803061086413306,0.250628037216995,0.0774338081345886,0.0373940935500251,0.0228259821265375
variance,1100,8,0.355528083794019,0.807376879816165,0.249291120976903,0.0793620688344942,0.0381594111762787,0.0237217928830272
variance,1100,9,0.357982376610428,0.804905237472676,0.250813804399689,0.0771692779613956,0.0353796039426624,0.0234466838267214
variance,1100,10,0.354775445541658,0.80894618471605,0.250409042524845,0.0749756200720945,0.0337173963648181,0.0242260314131732
variance,1100,11,0.359970093980732,0.801934666671922,0.251762780964952,0.078291196431723,0.036283591357456,0.022991051934756
variance,1100,12,0.356700871502809,0.805501476601183,0.250671629061473,0.0732002824854621,0.033711758419702,0.0232855412635199
variance,1150,5,0.359008970459533,0.80249952341806,0.252672664093601,0.0767482126375296,0.0372239502448056,0.0255049616051074
variance,1150,6,0.357772052833984,0.803618836762944,0.24886030390769,0.0775628533446489,0.037318385059978,0.0246493374710956
variance,1150,7,0.356163135314197,0.805631810979113,0.248750670230923,0.0754045425490953,0.0347032674718196,0.0234675322084837
variance,1150,8,0.358535926398403,0.801759484297503,0.249631306138324,0.0804032955321218,0.0402843915269915,0.0255896115196926
variance,1150,9,0.357598293546881,0.803491306951102,0.248457132100854,0.0810102489957928,0.0400956129238387,0.0254475656221205
variance,1150,10,0.358729245113678,0.802484380855742,0.250178361943274,0.0760791241773407,0.0351495633441987,0.0232718549417966
variance,1150,11,0.356597357709274,0.805604979611925,0.249436719398442,0.0773708510464101,0.0390112428407758,0.0257194378654467
variance,1150,12,0.35866480691409,0.80362926776998,0.251460884799573,0.0754506453288479,0.0341761607898246,0.0222628700320227
variance,1200,5,0.360139296677535,0.80012349013991,0.252040448443666,0.0760602006045671,0.0350315364392415,0.021545641521696
variance,1200,6,0.359247304896643,0.801586512959774,0.251538841148718,0.073816681548542,0.0358637920671453,0.0227725061678519
variance,1200,7,0.359165816070032,0.802496633665299,0.252606834675664,0.0730044912859594,0.0334645432552266,0.0239801565942425
variance,1200,8,0.357253357454341,0.805063195083324,0.249714061797217,0.0762154714645652,0.0371198585401991,0.0267477098861684
variance,1200,9,0.361433357678557,0.79900255410955,0.253235266817914,0.0727413004807532,0.0316211486252384,0.0218112844495047
variance,1200,10,0.357238940434423,0.80542844338659,0.250882329176734,0.0758524969695239,0.0364506578635317,0.0238830380931159
variance,1200,11,0.359009183856441,0.801628966418595,0.252271366542642,0.0761562337050638,0.0370171335130718,0.0222474237924664
variance,1200,12,0.358953957174567,0.801841716213748,0.252133830792137,0.0772320980488432,0.0370689741804715,0.0244674591229213
variance,1250,5,0.359274621720183,0.801837540451898,0.251397005818771,0.0774754308619801,0.0390831474160601,0.0257241807108853
variance,1250,6,0.356023019612285,0.805273172463812,0.250617853471244,0.0772206771071266,0.0400549071587563,0.0256891572987068
variance,1250,7,0.359490592448569,0.801536448954746,0.25182538186351,0.0758602919697391,0.0361619799240883,0.022855297969539
variance,1250,8,0.356822313258239,0.804560916950361,0.252280364415604,0.0733868480188219,0.0344246454814744,0.0254713795754759
variance,1250,9,0.356406514520451,0.805163576322332,0.249908711046791,0.0733326893594085,0.0346448269148776,0.0220122047441516
variance,1250,10,0.359788078069568,0.800451463819247,0.25115692354391,0.0813707336611037,0.0424663173122947,0.0270276002878271
variance,1250,11,0.356580237251719,0.804177104781773,0.248880347868622,0.0766660882100113,0.0382222401071486,0.0267924269648436
variance,1250,12,0.358958449754904,0.802271821692587,0.251598293116287,0.074213905096773,0.0392407735763278,0.0250657162747872
