splitrule,mtry,min.node.size,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
variance,50,6,127968.966392772,0.798373476472198,80913.2026976149,16500.0538551145,0.0301296425621359,11326.6825335517
variance,50,8,129310.841861256,0.792692540136259,82438.8490515021,16571.1182953785,0.0337723607536391,9986.52209488508
variance,50,10,128336.135698517,0.796539799448251,81825.5931137971,16896.4514014822,0.0322866081475546,10155.5990989342
variance,100,6,123724.260568564,0.80648589462866,75919.6560783562,17766.1708954968,0.0360784175527468,11298.4605047564
variance,100,8,122688.917354383,0.810008732145031,76176.9766507227,17239.686461425,0.0348755754033193,9405.08652073802
variance,100,10,122076.90124168,0.812443599843756,75468.2715845549,17443.2629067161,0.0340368499400675,11000.5241954089
variance,150,6,119981.497380891,0.816201921857489,73641.056588215,16951.5016047408,0.0329327330804082,10314.3826973443
variance,150,8,119878.823008679,0.817522726995699,73712.5069853873,17466.1084408266,0.0344839935388786,9782.38418166786
variance,150,10,120273.5940761,0.817000333246356,73111.4597031537,16501.3848226806,0.0309871641649534,9274.13958187248
variance,200,6,119457.228165307,0.816931793252247,72149.6071411001,18766.5851027856,0.0385476874040213,11122.093379668
variance,200,8,119094.455512351,0.817449589226204,71664.5766358098,17457.02402287,0.0338503970238997,10753.2306970909
variance,200,10,118827.464487618,0.818892775326794,72026.3088052619,18235.050522397,0.0363614416594059,10749.7971558044
variance,250,6,119124.832639912,0.817466017716234,71445.1892127699,19079.5928773986,0.0397020619701945,10981.1965726926
variance,250,8,118429.444218292,0.818766564186043,71160.0386331061,17939.0692974084,0.0360070646136939,10186.2665374127
variance,250,10,118754.355453298,0.817679763892344,71876.8134961462,17025.6644849856,0.0327930532642581,9674.98345846511
variance,300,6,118566.516666159,0.817322839621316,71547.0917458968,17016.4278178154,0.0320973144501372,10584.7342996202
variance,300,8,119704.739983773,0.812811422328534,71731.1333262493,17900.6613704921,0.0364256012890477,10868.0179987952
variance,300,10,118433.456880413,0.819498814933827,71696.5012471662,15859.0997336223,0.0287470415267105,9189.51417323448
variance,350,6,119098.286557341,0.814177836157455,71652.0568761727,17928.5568030493,0.0369828300341451,10140.0607165137
variance,350,8,117832.395816639,0.819855864906436,70968.3412846875,17399.8448951202,0.0336544282892641,10692.6498668735
variance,350,10,118235.946430958,0.818134619336362,71420.4576242338,17015.8069175728,0.0322353578521145,10244.7175361986
variance,400,6,119217.163782964,0.81413641350944,71046.7889223531,17887.2711866393,0.0354971790198431,11233.6591068101
variance,400,8,118625.484002153,0.814555352184395,71614.5091390477,17601.5286112458,0.0358637064050352,10359.2973388109
variance,400,10,118755.327784812,0.816188465001235,71234.3075555963,17160.744963132,0.0328705743303096,10896.4814131973
variance,450,6,118043.033113789,0.817442868884522,70761.524428572,17918.0700257911,0.0356129092672604,10882.6502668054
variance,450,8,118215.631734902,0.818279610819248,71480.3157567533,17886.0070602672,0.0351696861606882,10785.8638335337
variance,450,10,118389.364030129,0.817197713693338,71564.9032032967,18362.5463386153,0.0374241444920147,10535.7205092538
variance,500,6,118286.541949792,0.816229608948992,71654.1667041976,17399.6217423369,0.0347864254120569,10873.1744043282
variance,500,8,118614.266193057,0.8149037926574,71306.4255005544,17219.014772845,0.0340728716850826,10647.4430518479
variance,500,10,117717.778916285,0.81822408329177,70924.2586235918,16722.7812564735,0.0321968836811916,10456.5488705303
variance,550,6,118629.908628211,0.815002996604136,71224.9957870492,17766.1269139779,0.036480060639821,10070.2454787381
variance,550,8,118480.906257591,0.815311763651555,71599.4997808184,18765.9484397743,0.0389922260006318,11575.789257367
variance,550,10,119203.341826378,0.813719401679773,71514.3806949997,16997.7699428664,0.0335240025357247,10105.5706103833
variance,600,6,119410.553456926,0.812415900656166,71672.8161491135,16341.525503314,0.0318088923549193,10433.1172676792
variance,600,8,119287.377599592,0.812416301145277,71292.6166007402,17607.8640887062,0.0357348117937859,10625.0915644771
variance,600,10,117009.963940309,0.820854295055962,70483.3005128064,15886.8819278948,0.0295044947994652,9690.81207086179
variance,650,6,118978.347731016,0.813527132755486,71178.9403768352,17197.1416240557,0.034014021660126,11489.6616080628
variance,650,8,118963.070709095,0.814225231403084,71239.6448116843,16286.1077116496,0.0304011783242026,10891.7170827875
variance,650,10,118683.352140601,0.814650170577077,71224.0144293817,16109.0879256543,0.0310148550113387,10195.5797194791
variance,700,6,120201.635839975,0.809009632323594,72790.5912830476,16761.6932891775,0.0334834672750932,10227.5917820192
variance,700,8,118959.407778898,0.813154417665441,71333.9950436232,17920.1880488437,0.0372179098954343,11312.2256619969
variance,700,10,119587.199721174,0.810561060949076,71743.8869361388,18328.152788322,0.0383323910110753,10823.6704912993
variance,750,6,118802.846876625,0.813851035330488,71247.0981176146,16842.0186320472,0.0332630849878306,10246.9490176709
variance,750,8,119791.574781605,0.809931818250228,72318.9634257366,16520.1082735071,0.0329881198744271,10493.0921909833
variance,750,10,119316.309907739,0.81205330756425,71588.2576913631,16970.6531959967,0.0340394902519935,10160.0191865122
variance,800,6,120025.568243843,0.808130768855018,72324.350146693,18649.1597031756,0.0406985501861439,12149.5439188968
