minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
20,20,0.0133876850011026,10,0.291211323582976,0.522527880110818,0.0372235715886041
21,20,0.0158227715837251,8,0.320854831528344,0.529174760683517,0.0368721567370553
22,20,0.01,13,0.253171176697124,0.5011015066562,0.0344886653930336
23,20,0.0158227715837251,8,0.320854831528344,0.505290888844884,0.0368887421917083
24,20,0.0113197934801584,12,0.264490970177282,0.51844648276881,0.0369556524893866
25,20,0.0158227715837251,8,0.320854831528344,0.524266175953859,0.0343590203156588
26,20,0.0158227715837251,8,0.320854831528344,0.507959873214324,0.0356882589627587
27,20,0.01,13,0.253171176697124,0.508196089607475,0.0357376032183394
28,20,0.0181887244195162,7,0.33904355594786,0.507257827987911,0.0344925828409383
29,20,0.0113197934801584,11,0.277823638581874,0.505994374563571,0.0357492277742763
30,20,0.01,12,0.266503845101715,0.538787701251286,0.0369402887356424
31,20,0.01,12,0.266503845101715,0.532755909611216,0.0375509068167261
32,20,0.01,12,0.266503845101715,0.541292578702381,0.0338776026209697
33,20,0.0133876850011026,10,0.291211323582976,0.508333284446597,0.0361121707020083
34,20,0.0133876850011026,10,0.291211323582976,0.511070961816679,0.0359246229713236
35,20,0.01,12,0.266503845101715,0.490955699453478,0.0340444838401102
36,20,0.01,12,0.266503845101715,0.49783380527038,0.0348188422218287
37,20,0.0158227715837251,8,0.320854831528344,0.528644655415665,0.0365532646638836
38,20,0.0158227715837251,8,0.320854831528344,0.545444220789185,0.0398310281945185
39,20,0.0133876850011026,10,0.291211323582976,0.494744441053619,0.0333992287100047
40,20,0.01,12,0.266503845101715,0.525944065303338,0.0330722720785154
20,21,0.0158227715837251,8,0.320854831528344,0.544248237328979,0.0367296084544412
21,21,0.0243740855494423,5,0.386279040961935,0.523063201039153,0.0394076369802361
22,21,0.0228613994646326,6,0.361904955412492,0.521098520334623,0.035784171630273
23,21,0.0158227715837251,8,0.320854831528344,0.51400501209653,0.0325490974740614
24,21,0.0181887244195162,7,0.33904355594786,0.537044664797803,0.0359347825468234
25,21,0.0228613994646326,6,0.361904955412492,0.512893077934692,0.0390581045262054
26,21,0.01,13,0.253171176697124,0.51221661661682,0.035100384220252
27,21,0.01,13,0.253171176697124,0.513919952244592,0.0324541968948673
28,21,0.0133876850011026,10,0.291211323582976,0.490716211137896,0.0347658700866381
29,21,0.0158227715837251,8,0.320854831528344,0.527005299836718,0.0377008349283579
30,21,0.0158227715837251,8,0.320854831528344,0.512966932852599,0.0359071936945001
31,21,0.0113197934801584,11,0.277823638581874,0.511204325102533,0.0354988929358797
32,21,0.0113197934801584,11,0.277823638581874,0.453211706321086,0.0308340364653815
33,21,0.0181887244195162,7,0.33904355594786,0.492437013203034,0.0343678658060771
34,21,0.01,12,0.266503845101715,0.489495126942989,0.0349671404180565
35,21,0.0133876850011026,10,0.291211323582976,0.516436900808813,0.038271803632711
