minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
20,20,0.01,9,0.21016683790222,0.381134801422249,0.0397928866471017
21,20,0.01,9,0.21016683790222,0.344178367037115,0.0348753521456659
22,20,0.0108654833319461,7,0.231835182631877,0.349242482216496,0.0370294348077542
23,20,0.0108654833319461,7,0.231835182631877,0.350983341253453,0.0423833446881695
24,20,0.0108654833319461,7,0.231835182631877,0.330777214222998,0.0291801866679446
25,20,0.01,9,0.21016683790222,0.346028549934494,0.0440216759129994
26,20,0.0108654833319461,7,0.231835182631877,0.358378492170945,0.0406190781320792
27,20,0.01,9,0.21016683790222,0.331476149646234,0.0264862079513518
28,20,0.0108654833319461,7,0.231835182631877,0.336927833630462,0.0291658784613377
29,20,0.01,9,0.21016683790222,0.37072974868884,0.0502539368247277
30,20,0.0108654833319461,7,0.231835182631877,0.324218061643429,0.0281501785114393
31,20,0.01,9,0.21016683790222,0.357832103110235,0.0430103540146066
32,20,0.01,9,0.21016683790222,0.320477340846717,0.0268943459964289
33,20,0.0109316456393027,6,0.24276682827118,0.371118574122864,0.0430405697448305
34,20,0.01,9,0.21016683790222,0.354254042413944,0.0446458928954685
35,20,0.01,9,0.21016683790222,0.344786947826146,0.0426008742356578
36,20,0.01,9,0.21016683790222,0.346632565450785,0.0359827319310231
37,20,0.01,9,0.21016683790222,0.328146555050316,0.0331145707051926
38,20,0.0108654833319461,7,0.231835182631877,0.323027458695753,0.0349659676400657
39,20,0.0108654833319461,7,0.231835182631877,0.360312455764106,0.0352313677646872
40,20,0.0108654833319461,7,0.231835182631877,0.361024038851822,0.0444003820119893
20,21,0.0108028613977113,8,0.220969699299931,0.327167393120326,0.0301613672502437
21,21,0.01,9,0.21016683790222,0.365251994559359,0.0420340621654303
22,21,0.01,9,0.21016683790222,0.331070418962427,0.0349013118296147
23,21,0.0108028613977113,8,0.220969699299931,0.367260699115504,0.0428842545729801
24,21,0.01,9,0.21016683790222,0.342266425457903,0.0403392202847469
25,21,0.01,9,0.21016683790222,0.336727074259557,0.0338245239028426
26,21,0.01,9,0.21016683790222,0.35292936830713,0.0312252255601858
27,21,0.0108654833319461,7,0.231835182631877,0.339170291000535,0.0281588409079627
28,21,0.01,9,0.21016683790222,0.343529948176711,0.035141275964977
29,21,0.01,9,0.21016683790222,0.327878565666475,0.0274948670187263
30,21,0.01,9,0.21016683790222,0.334431539622698,0.0442805722187841
31,21,0.01,9,0.21016683790222,0.354791223443672,0.0373377795063762
32,21,0.0108028613977113,8,0.220969699299931,0.316179944779133,0.0276798336734768
33,21,0.0108654833319461,7,0.231835182631877,0.332288159777341,0.030371974429682
34,21,0.01,9,0.21016683790222,0.36460730110648,0.0461639719589424
35,21,0.01,9,0.21016683790222,0.345453064811405,0.0342743072848861
36,21,0.0108028613977113,8,0.220969699299931,0.366738832316499,0.0381972342986356
37,21,0.01,9,0.21016683790222,0.350180263072473,0.0298332464554816
38,21,0.01,9,0.21016683790222,0.339974740583502,0.0315436993356209
39,21,0.01,9,0.21016683790222,0.362559249837047,0.0388772480991119
40,21,0.0108654833319461,7,0.231835182631877,0.343687456018532,0.0453127431471895
20,22,0.0108654833319461,7,0.231835182631877,0.35379829083596,0.0409988892537851
21,22,0.01,9,0.21016683790222,0.353285246702051,0.0373682927267261
22,22,0.01,9,0.21016683790222,0.308592404234965,0.0249610153257682
23,22,0.0108654833319461,7,0.231835182631877,0.334005902127133,0.0310839324448884
24,22,0.01,9,0.21016683790222,0.350546411217261,0.0460313504923458
25,22,0.0108654833319461,7,0.231835182631877,0.336216128957327,0.0344245698221699
26,22,0.0108028613977113,8,0.220969699299931,0.31722963762034,0.0412964659809763
27,22,0.01,9,0.21016683790222,0.409695933176791,0.0513539025219379
28,22,0.01,9,0.21016683790222,0.341389610332716,0.0312552437984618
29,22,0.0108654833319461,7,0.231835182631877,0.380276268281976,0.0441319135250512
30,22,0.0108028613977113,8,0.220969699299931,0.340802753390644,0.0445112813188839
31,22,0.01,9,0.21016683790222,0.352724784889481,0.0268585176658756
32,22,0.0108654833319461,7,0.231835182631877,0.354693651119194,0.0393383214815712
33,22,0.01,9,0.21016683790222,0.363476636152586,0.0454444056018155
34,22,0.01,9,0.21016683790222,0.367918871248334,0.0493377269456155
35,22,0.01,9,0.21016683790222,0.344265218596914,0.0411695584696228
36,22,0.0108654833319461,7,0.231835182631877,0.33377937282477,0.0315707269266071
37,22,0.01,9,0.21016683790222,0.346660312607973,0.0445712035807638
38,22,0.0108654833319461,7,0.231835182631877,0.331447094970583,0.0332159698853034
39,22,0.01,9,0.21016683790222,0.334570884298807,0.0341597220741917
40,22,0.01,9,0.21016683790222,0.340056343214624,0.0318091378464928
20,23,0.01,9,0.21016683790222,0.331828090055668,0.038791793742572
21,23,0.01,9,0.21016683790222,0.302027275234857,0.0248999845933516
22,23,0.01,9,0.21016683790222,0.308538579175611,0.0237170514211121
23,23,0.01,9,0.21016683790222,0.301214710638233,0.0241545594118953
24,23,0.0109316456393027,6,0.24276682827118,0.353021693797768,0.0265854748166558
25,23,0.01,9,0.21016683790222,0.333888933476027,0.0387148925284462
26,23,0.0109316456393027,6,0.24276682827118,0.371825619060616,0.0468049548130174
27,23,0.01,9,0.21016683790222,0.350672753678554,0.0451314301905175
28,23,0.01,9,0.21016683790222,0.331697397092237,0.0265896188285178
29,23,0.01,9,0.21016683790222,0.330902840810696,0.0297663151045815
30,23,0.01,9,0.21016683790222,0.345545373025478,0.042551415646727
31,23,0.0108654833319461,7,0.231835182631877,0.343417787934055,0.0478619934972973
32,23,0.0108028613977113,8,0.220969699299931,0.379334237221457,0.0482357686316677
33,23,0.0108654833319461,7,0.231835182631877,0.338759914237688,0.0342453145574383
34,23,0.01,9,0.21016683790222,0.343794885549176,0.0359606425568362
35,23,0.01,9,0.21016683790222,0.348120811885631,0.0457994259913824
36,23,0.0108654833319461,7,0.231835182631877,0.319421069305639,0.0274623322256098
37,23,0.01,9,0.21016683790222,0.306999153306253,0.0270678471979
38,23,0.0108028613977113,8,0.220969699299931,0.346814829573516,0.034385354899947
39,23,0.01,9,0.21016683790222,0.346854332242226,0.0318628911621958
40,23,0.0108654833319461,7,0.231835182631877,0.338015824684959,0.0344123278558254
20,24,0.01,9,0.21016683790222,0.324461078203442,0.0354577009291217
21,24,0.0108654833319461,7,0.231835182631877,0.341813207145226,0.0310751825144504
22,24,0.01,9,0.21016683790222,0.350955230481149,0.0372672967800928
23,24,0.01,9,0.21016683790222,0.347884679009936,0.0396335061736578
24,24,0.01,9,0.21016683790222,0.348603294697144,0.0388277544128907
25,24,0.0109316456393027,6,0.24276682827118,0.370197433295302,0.0443630558002798
26,24,0.0108654833319461,7,0.231835182631877,0.337975344741819,0.0340004796802775
27,24,0.0108654833319461,7,0.231835182631877,0.348033420567844,0.0380090879327103
28,24,0.01,9,0.21016683790222,0.338254640033014,0.0345741238226777
29,24,0.0108028613977113,8,0.220969699299931,0.287752777344288,0.0227397134277451
30,24,0.01,9,0.21016683790222,0.3297802392946,0.0326195737986955
