minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
20,25,0.0121359981750721,6,0.153557300282924,0.260508224883635,0.0313673691888015
23,36,0.0121359981750721,6,0.153557300282924,0.266244580707101,0.0311149161036316
31,37,0.01,7,0.141421302107851,0.266831668552371,0.0356902542818021
24,30,0.01,7,0.141421302107851,0.268201016536103,0.0322102278580891
24,33,0.01,7,0.141421302107851,0.268458057652657,0.0315899024545329
22,26,0.0121359981750721,6,0.153557300282924,0.268934502273303,0.0344827160849868
39,32,0.0171180915103246,4,0.20426950427378,0.270755621245865,0.0281794059131881
30,22,0.0121359981750721,6,0.153557300282924,0.271571499059021,0.0320525365010773
24,27,0.01,7,0.141421302107851,0.271655018104976,0.0316502801133261
24,25,0.0121359981750721,6,0.153557300282924,0.272846319687403,0.0324881595405697
40,26,0.01,6,0.175015414588383,0.273007060021094,0.0360248257728502
22,39,0.0121359981750721,6,0.153557300282924,0.274522478492643,0.0384933413614303
29,37,0.0121359981750721,6,0.153557300282924,0.275024990699486,0.0345026047717514
24,23,0.0121359981750721,6,0.153557300282924,0.275976984523915,0.0350210526334303
31,31,0.0121359981750721,6,0.153557300282924,0.277045677913498,0.0328546311643438
30,36,0.0171180915103246,5,0.170675391793248,0.279771580275789,0.0369622364785117
40,35,0.0171180915103246,4,0.20426950427378,0.280497933485349,0.0338816900125875
24,35,0.01,7,0.141421302107851,0.280536699045243,0.0415775428681723
23,31,0.01,7,0.141421302107851,0.280781870539439,0.0356212124196831
31,25,0.0171180915103246,5,0.170675391793248,0.281698504879766,0.0400416843880771
32,40,0.0121359981750721,6,0.153557300282924,0.281750460648555,0.034599460425709
39,38,0.0171180915103246,4,0.20426950427378,0.281949117703002,0.0323025051241692
28,29,0.01,7,0.141421302107851,0.282085312435576,0.0362674020706301
36,39,0.01,6,0.175015414588383,0.283052576238761,0.0352099270564701
33,35,0.0121359981750721,6,0.153557300282924,0.283287496075875,0.0325288206493201
24,40,0.01,7,0.141421302107851,0.283464083436811,0.0333458638764721
27,40,0.0121359981750721,6,0.153557300282924,0.283637293066329,0.0381905669200802
40,40,0.0171180915103246,4,0.20426950427378,0.284051450088658,0.0411385386133731
34,20,0.01,6,0.175015414588383,0.284199639560503,0.03485628780118
37,35,0.01,6,0.175015414588383,0.284826399130842,0.0314943079214231
28,31,0.01,7,0.141421302107851,0.285184089584632,0.0342626099751801
27,26,0.01,7,0.141421302107851,0.285626611564702,0.034451508447187
30,21,0.01,7,0.141421302107851,0.28649778029432,0.0356236814235428
20,37,0.0171180915103246,5,0.170675391793248,0.286715147994355,0.0349464321611856
39,25,0.0121359981750721,5,0.187151412763455,0.286804091111485,0.034785931271884
32,29,0.0121359981750721,6,0.153557300282924,0.287001097107175,0.0319187068835873
37,37,0.0121359981750721,5,0.187151412763455,0.287801016034976,0.0333045924416196
38,31,0.0121359981750721,5,0.187151412763455,0.287894189499717,0.0369116787757586
38,28,0.0121359981750721,5,0.187151412763455,0.288359432833772,0.0333747029020946
33,24,0.0121359981750721,6,0.153557300282924,0.28883382173261,0.0337849733655596
35,26,0.0121359981750721,5,0.187151412763455,0.288953315391014,0.0345390225816915
25,25,0.01,7,0.141421302107851,0.289090269761045,0.0351991839534034
39,39,0.0121359981750721,5,0.187151412763455,0.289528223900119,0.032017300699298
40,31,0.01,6,0.175015414588383,0.290465472046179,0.0343001939368523
39,37,0.0171180915103246,4,0.20426950427378,0.290582796480977,0.0359949595370971
33,22,0.0121359981750721,6,0.153557300282924,0.291004267687976,0.0394384374593733
30,20,0.0171180915103246,5,0.170675391793248,0.291476560357364,0.0359789506679557
20,26,0.0121359981750721,6,0.153557300282924,0.291643360735703,0.0329446912807929
36,26,0.01,6,0.175015414588383,0.291656795719148,0.0354948411171618
39,36,0.0121359981750721,5,0.187151412763455,0.29187342148324,0.0397532188470999
