ntree,rmse
10,138892.751542756
12,130979.582890342
14,122479.438319778
16,123048.740382053
18,127842.801018045
20,130872.956325591
22,124993.030960353
24,120422.867483678
26,118586.941108103
28,122195.596237499
30,120144.362932228
32,120494.211404989
34,120509.408822052
36,122724.064584538
38,120302.87478996
40,124651.210792892
42,117226.583857558
44,116373.564019752
46,125351.841313278
48,117159.287963867
50,121085.916158053
52,118321.504432029
54,122786.074753537
56,118061.271624578
58,118950.814928198
60,120511.918382415
62,119794.540190653
64,118790.034432786
66,118088.137372303
68,121448.604328577
70,120370.834521889
72,117160.229783368
74,122795.566140702
76,119309.458610348
78,121465.820004297
80,118188.54916952
82,117599.103206676
84,117947.811327672
86,119584.300315464
88,116917.548065767
90,117667.498520978
92,119701.188738751
94,117574.496259271
96,120796.651189114
98,119873.093686966
100,122677.867875498
102,117395.872953442
104,118977.998244789
106,118067.070257846
108,119175.625950537
110,119606.667990572
112,116356.208307652
114,116139.270713255
116,116702.076714376
118,117333.960273813
120,118088.201481596
122,117373.813084363
124,116969.958118929
126,118764.313797714
128,119231.97323992
130,116769.303169017
132,120097.382400845
134,117316.187686567
136,121134.888013297
138,117984.451412161
140,117032.160289425
142,118501.823280696
144,116190.9488746
146,119066.04552779
148,118360.492237539
150,120002.508433338
152,118920.715620159
154,118247.472155498
156,116586.526363165
158,119385.907628889
160,118427.413346587
162,118873.235612668
164,115943.212893482
166,116996.714174383
168,117685.306052874
170,117854.252746384
172,116960.66627955
174,117461.715214296
176,118383.285033866
178,117223.653791536
180,117463.001793026
182,118679.370212253
184,118685.758390301
186,116731.657891063
188,117925.456001197
190,117172.595455127
192,119778.389510515
194,118881.334755417
196,118278.763111742
198,117355.075353675
200,118711.890878058
